ID,title,impact,likelihood,risk_score,priority,impact_rationale,likelihood_rationale
ADR-003,Update own address,4,3,12,Medium,影响核心交易、认证或敏感个人数据，业务中断或合规风险明显,有一定实现复杂度，常规测试可能遗漏
ADR-004,Delete own address,3,3,9,Medium,功能错误或局部数据不一致，影响用户体验或局部安全,有一定实现复杂度，常规测试可能遗漏
ADR-005,IDOR on address by id,5,5,25,High,可导致账户接管、数据泄露、远程代码执行或资金/隐私重大损失,Juice Shop 故意保留该弱点或实现简单，未经专项测试极易暴露
ADR-006,Create address missing required fields,3,3,9,Medium,功能错误或局部数据不一致，影响用户体验或局部安全,有一定实现复杂度，常规测试可能遗漏
CAT-001,List products via API,4,3,12,Medium,影响核心交易、认证或敏感个人数据，业务中断或合规风险明显,有一定实现复杂度，常规测试可能遗漏
CAT-002,Product detail by id,3,3,9,Medium,功能错误或局部数据不一致，影响用户体验或局部安全,有一定实现复杂度，常规测试可能遗漏
CAT-003,Search products by keyword,4,3,12,Medium,影响核心交易、认证或敏感个人数据，业务中断或合规风险明显,有一定实现复杂度，常规测试可能遗漏
CAT-004,Search SQL injection in q parameter,5,5,25,High,可导致账户接管、数据泄露、远程代码执行或资金/隐私重大损失,Juice Shop 故意保留该弱点或实现简单，未经专项测试极易暴露
CAT-005,Admin product API authorization,4,4,16,High,影响核心交易、认证或敏感个人数据，业务中断或合规风险明显,涉及多组件/边界条件，历史同类缺陷常见
CAT-006,Soft-deleted products in basket context,3,3,9,Medium,功能错误或局部数据不一致，影响用户体验或局部安全,有一定实现复杂度，常规测试可能遗漏
CAT-007,Empty search query,2,2,4,Low,影响有限，主要为展示或辅助功能,逻辑简单或已有明确校验，逃逸概率较低
CAT-008,Product price displayed in deluxe context,3,3,9,Medium,功能错误或局部数据不一致，影响用户体验或局部安全,有一定实现复杂度，常规测试可能遗漏
CAT-009,Delete product admin only,4,3,12,Medium,影响核心交易、认证或敏感个人数据，业务中断或合规风险明显,有一定实现复杂度，常规测试可能遗漏
CART-001,Retrieve own basket,4,3,12,Medium,影响核心交易、认证或敏感个人数据，业务中断或合规风险明显,有一定实现复杂度，常规测试可能遗漏
CART-002,IDOR read foreign basket,5,5,25,High,可导致账户接管、数据泄露、远程代码执行或资金/隐私重大损失,Juice Shop 故意保留该弱点或实现简单，未经专项测试极易暴露
CART-003,Add item to basket,4,3,12,Medium,影响核心交易、认证或敏感个人数据，业务中断或合规风险明显,有一定实现复杂度，常规测试可能遗漏
CART-004,Update basket item quantity,4,3,12,Medium,影响核心交易、认证或敏感个人数据，业务中断或合规风险明显,有一定实现复杂度，常规测试可能遗漏
CART-005,Remove item from basket,3,3,9,Medium,功能错误或局部数据不一致，影响用户体验或局部安全,有一定实现复杂度，常规测试可能遗漏
CART-006,Quantity zero or negative rejected,3,3,9,Medium,功能错误或局部数据不一致，影响用户体验或局部安全,有一定实现复杂度，常规测试可能遗漏
CART-007,Guest basket merge on login,4,4,16,High,影响核心交易、认证或敏感个人数据，业务中断或合规风险明显,涉及多组件/边界条件，历史同类缺陷常见
CART-008,Checkout entry from basket,4,3,12,Medium,影响核心交易、认证或敏感个人数据，业务中断或合规风险明显,有一定实现复杂度，常规测试可能遗漏
CART-009,Add out-of-stock product,4,3,12,Medium,影响核心交易、认证或敏感个人数据，业务中断或合规风险明显,有一定实现复杂度，常规测试可能遗漏
ORD-001,Place order from basket checkout,4,4,16,High,影响核心交易、认证或敏感个人数据，业务中断或合规风险明显,涉及多组件/边界条件，历史同类缺陷常见
ORD-002,Apply coupon to basket,4,4,16,High,影响核心交易、认证或敏感个人数据，业务中断或合规风险明显,涉及多组件/边界条件，历史同类缺陷常见
ORD-003,Invalid coupon rejected,3,4,12,Medium,功能错误或局部数据不一致，影响用户体验或局部安全,涉及多组件/边界条件，历史同类缺陷常见
ORD-004,Order history for logged-in user,4,3,12,Medium,影响核心交易、认证或敏感个人数据，业务中断或合规风险明显,有一定实现复杂度，常规测试可能遗漏
ORD-005,All orders admin/accounting view,4,4,16,High,影响核心交易、认证或敏感个人数据，业务中断或合规风险明显,涉及多组件/边界条件，历史同类缺陷常见
ORD-006,Track order by id,4,3,12,Medium,影响核心交易、认证或敏感个人数据，业务中断或合规风险明显,有一定实现复杂度，常规测试可能遗漏
ORD-007,Track order NoSQL injection,5,5,25,High,可导致账户接管、数据泄露、远程代码执行或资金/隐私重大损失,Juice Shop 故意保留该弱点或实现简单，未经专项测试极易暴露
ORD-008,Delivery options list,3,3,9,Medium,功能错误或局部数据不一致，影响用户体验或局部安全,有一定实现复杂度，常规测试可能遗漏
ORD-009,Toggle delivery status accounting,4,3,12,Medium,影响核心交易、认证或敏感个人数据，业务中断或合规风险明显,有一定实现复杂度，常规测试可能遗漏
ORD-010,Checkout decrements inventory,4,4,16,High,影响核心交易、认证或敏感个人数据，业务中断或合规风险明显,涉及多组件/边界条件，历史同类缺陷常见
ORD-011,Checkout wallet deduction,4,3,12,Medium,影响核心交易、认证或敏感个人数据，业务中断或合规风险明显,有一定实现复杂度，常规测试可能遗漏
ORD-012,Checkout empty basket rejected,4,3,12,Medium,影响核心交易、认证或敏感个人数据，业务中断或合规风险明显,有一定实现复杂度，常规测试可能遗漏
PAY-001,List saved payment cards,4,3,12,Medium,影响核心交易、认证或敏感个人数据，业务中断或合规风险明显,有一定实现复杂度，常规测试可能遗漏
PAY-002,Add payment card,4,3,12,Medium,影响核心交易、认证或敏感个人数据，业务中断或合规风险明显,有一定实现复杂度，常规测试可能遗漏
PAY-003,Delete own payment card,4,3,12,Medium,影响核心交易、认证或敏感个人数据，业务中断或合规风险明显,有一定实现复杂度，常规测试可能遗漏
PAY-004,IDOR on payment cards,5,5,25,High,可导致账户接管、数据泄露、远程代码执行或资金/隐私重大损失,Juice Shop 故意保留该弱点或实现简单，未经专项测试极易暴露
PAY-005,Get wallet balance,4,3,12,Medium,影响核心交易、认证或敏感个人数据，业务中断或合规风险明显,有一定实现复杂度，常规测试可能遗漏
PAY-006,Top up wallet balance,4,3,12,Medium,影响核心交易、认证或敏感个人数据，业务中断或合规风险明显,有一定实现复杂度，常规测试可能遗漏
PAY-007,Card number validation boundary,3,4,12,Medium,功能错误或局部数据不一致，影响用户体验或局部安全,涉及多组件/边界条件，历史同类缺陷常见
PAY-008,Expired payment card rejected,4,4,16,High,影响核心交易、认证或敏感个人数据，业务中断或合规风险明显,涉及多组件/边界条件，历史同类缺陷常见
B2B-001,Submit B2B order with orderLines,4,3,12,Medium,影响核心交易、认证或敏感个人数据，业务中断或合规风险明显,有一定实现复杂度，常规测试可能遗漏
B2B-002,B2B order schema validation,4,4,16,High,影响核心交易、认证或敏感个人数据，业务中断或合规风险明显,涉及多组件/边界条件，历史同类缺陷常见
B2B-003,B2B RCE via order payload,5,5,25,High,可导致账户接管、数据泄露、远程代码执行或资金/隐私重大损失,Juice Shop 故意保留该弱点或实现简单，未经专项测试极易暴露
B2B-004,B2B endpoint authentication,5,5,25,High,可导致账户接管、数据泄露、远程代码执行或资金/隐私重大损失,Juice Shop 故意保留该弱点或实现简单，未经专项测试极易暴露
B2B-005,B2B empty orderLines rejected,4,4,16,High,影响核心交易、认证或敏感个人数据，业务中断或合规风险明显,涉及多组件/边界条件，历史同类缺陷常见
REV-001,List reviews for product,3,3,9,Medium,功能错误或局部数据不一致，影响用户体验或局部安全,有一定实现复杂度，常规测试可能遗漏
REV-002,Create product review,4,3,12,Medium,影响核心交易、认证或敏感个人数据，业务中断或合规风险明显,有一定实现复杂度，常规测试可能遗漏
REV-003,Forged review author,4,5,20,High,影响核心交易、认证或敏感个人数据，业务中断或合规风险明显,Juice Shop 故意保留该弱点或实现简单，未经专项测试极易暴露
REV-004,Update reviews batch NoSQL,5,5,25,High,可导致账户接管、数据泄露、远程代码执行或资金/隐私重大损失,Juice Shop 故意保留该弱点或实现简单，未经专项测试极易暴露
REV-005,Like product review,3,3,9,Medium,功能错误或局部数据不一致，影响用户体验或局部安全,有一定实现复杂度，常规测试可能遗漏
REV-006,Review list NoSQL DoS,4,5,20,High,影响核心交易、认证或敏感个人数据，业务中断或合规风险明显,Juice Shop 故意保留该弱点或实现简单，未经专项测试极易暴露
REV-007,Stored XSS in review message,4,3,12,Medium,影响核心交易、认证或敏感个人数据，业务中断或合规风险明显,有一定实现复杂度，常规测试可能遗漏
REV-008,Unauthenticated review creation blocked,3,3,9,Medium,功能错误或局部数据不一致，影响用户体验或局部安全,有一定实现复杂度，常规测试可能遗漏
FDB-001,Submit feedback with captcha,3,3,9,Medium,功能错误或局部数据不一致，影响用户体验或局部安全,有一定实现复杂度，常规测试可能遗漏
FDB-002,Feedback captcha bypass,3,3,9,Medium,功能错误或局部数据不一致，影响用户体验或局部安全,有一定实现复杂度，常规测试可能遗漏
FDB-003,List feedback entries,2,2,4,Low,影响有限，主要为展示或辅助功能,逻辑简单或已有明确校验，逃逸概率较低
FDB-004,Forged feedback userId,4,5,20,High,影响核心交易、认证或敏感个人数据，业务中断或合规风险明显,Juice Shop 故意保留该弱点或实现简单，未经专项测试极易暴露
FDB-005,Get captcha image or text,2,2,4,Low,影响有限，主要为展示或辅助功能,逻辑简单或已有明确校验，逃逸概率较低
FDB-006,Empty feedback comment rejected,2,4,8,Medium,影响有限，主要为展示或辅助功能,涉及多组件/边界条件，历史同类缺陷常见
DLX-001,Query deluxe membership status,3,3,9,Medium,功能错误或局部数据不一致，影响用户体验或局部安全,有一定实现复杂度，常规测试可能遗漏
DLX-002,Upgrade to deluxe via wallet,4,3,12,Medium,影响核心交易、认证或敏感个人数据，业务中断或合规风险明显,有一定实现复杂度，常规测试可能遗漏
DLX-003,Upgrade to deluxe via card,4,3,12,Medium,影响核心交易、认证或敏感个人数据，业务中断或合规风险明显,有一定实现复杂度，常规测试可能遗漏
DLX-004,Free deluxe membership abuse,5,5,25,High,可导致账户接管、数据泄露、远程代码执行或资金/隐私重大损失,Juice Shop 故意保留该弱点或实现简单，未经专项测试极易暴露
DLX-005,Deluxe member sees deluxe pricing,3,3,9,Medium,功能错误或局部数据不一致，影响用户体验或局部安全,有一定实现复杂度，常规测试可能遗漏
DAT-001,Request personal data export,4,3,12,Medium,影响核心交易、认证或敏感个人数据，业务中断或合规风险明显,有一定实现复杂度，常规测试可能遗漏
DAT-002,Data export image captcha required,4,3,12,Medium,影响核心交易、认证或敏感个人数据，业务中断或合规风险明显,有一定实现复杂度，常规测试可能遗漏
DAT-003,Data export cross-store aggregation,4,3,12,Medium,影响核心交易、认证或敏感个人数据，业务中断或合规风险明显,有一定实现复杂度，常规测试可能遗漏
DAT-004,Request data erasure,4,3,12,Medium,影响核心交易、认证或敏感个人数据，业务中断或合规风险明显,有一定实现复杂度，常规测试可能遗漏
DAT-005,Data erasure LFR vulnerability,5,5,25,High,可导致账户接管、数据泄露、远程代码执行或资金/隐私重大损失,Juice Shop 故意保留该弱点或实现简单，未经专项测试极易暴露
DAT-006,Privacy request API,3,3,9,Medium,功能错误或局部数据不一致，影响用户体验或局部安全,有一定实现复杂度，常规测试可能遗漏
DAT-007,Data erasure unauthenticated blocked,4,3,12,Medium,影响核心交易、认证或敏感个人数据，业务中断或合规风险明显,有一定实现复杂度，常规测试可能遗漏
FILE-001,Generic file upload,4,3,12,Medium,影响核心交易、认证或敏感个人数据，业务中断或合规风险明显,有一定实现复杂度，常规测试可能遗漏
FILE-002,ZIP upload and extraction,5,4,20,High,可导致账户接管、数据泄露、远程代码执行或资金/隐私重大损失,涉及多组件/边界条件，历史同类缺陷常见
FILE-003,XML upload XXE surface,5,5,25,High,可导致账户接管、数据泄露、远程代码执行或资金/隐私重大损失,Juice Shop 故意保留该弱点或实现简单，未经专项测试极易暴露
FILE-004,Memory photo upload and list,3,3,9,Medium,功能错误或局部数据不一致，影响用户体验或局部安全,有一定实现复杂度，常规测试可能遗漏
FILE-005,FTP static directory listing,4,3,12,Medium,影响核心交易、认证或敏感个人数据，业务中断或合规风险明显,有一定实现复杂度，常规测试可能遗漏
FILE-006,Quarantine folder access,3,3,9,Medium,功能错误或局部数据不一致，影响用户体验或局部安全,有一定实现复杂度，常规测试可能遗漏
FILE-007,Upload size limit boundary,3,3,9,Medium,功能错误或局部数据不一致，影响用户体验或局部安全,有一定实现复杂度，常规测试可能遗漏
FILE-008,Disallowed file type rejected,4,3,12,Medium,影响核心交易、认证或敏感个人数据，业务中断或合规风险明显,有一定实现复杂度，常规测试可能遗漏
API-001,JWT required on protected routes,5,4,20,High,可导致账户接管、数据泄露、远程代码执行或资金/隐私重大损失,涉及多组件/边界条件，历史同类缺陷常见
API-002,Admin role enforcement,5,5,25,High,可导致账户接管、数据泄露、远程代码执行或资金/隐私重大损失,Juice Shop 故意保留该弱点或实现简单，未经专项测试极易暴露
API-003,Deluxe role pricing access,3,3,9,Medium,功能错误或局部数据不一致，影响用户体验或局部安全,有一定实现复杂度，常规测试可能遗漏
API-004,Authenticated users debug endpoint,4,3,12,Medium,影响核心交易、认证或敏感个人数据，业务中断或合规风险明显,有一定实现复杂度，常规测试可能遗漏
API-005,denyAll middleware blocks routes,3,3,9,Medium,功能错误或局部数据不一致，影响用户体验或局部安全,有一定实现复杂度，常规测试可能遗漏
API-006,CORS policy behavior,3,4,12,Medium,功能错误或局部数据不一致，影响用户体验或局部安全,涉及多组件/边界条件，历史同类缺陷常见
API-007,API rate limiting on sensitive routes,4,3,12,Medium,影响核心交易、认证或敏感个人数据，业务中断或合规风险明显,有一定实现复杂度，常规测试可能遗漏
API-008,JWT tampering rejected,5,4,20,High,可导致账户接管、数据泄露、远程代码执行或资金/隐私重大损失,涉及多组件/边界条件，历史同类缺陷常见
API-009,Finale REST CRUD authorization matrix,4,3,12,Medium,影响核心交易、认证或敏感个人数据，业务中断或合规风险明显,有一定实现复杂度，常规测试可能遗漏
API-010,Accounting role order access,4,3,12,Medium,影响核心交易、认证或敏感个人数据，业务中断或合规风险明显,有一定实现复杂度，常规测试可能遗漏
UI-001,Registration and checkout form validation,4,4,16,High,影响核心交易、认证或敏感个人数据，业务中断或合规风险明显,涉及多组件/边界条件，历史同类缺陷常见
UI-002,JWT stored in localStorage and cookie,4,3,12,Medium,影响核心交易、认证或敏感个人数据，业务中断或合规风险明显,有一定实现复杂度，常规测试可能遗漏
UI-003,Language selection i18n,2,2,4,Low,影响有限，主要为展示或辅助功能,逻辑简单或已有明确校验，逃逸概率较低
UI-004,Route guard for authenticated pages,4,3,12,Medium,影响核心交易、认证或敏感个人数据，业务中断或合规风险明显,有一定实现复杂度，常规测试可能遗漏
UI-005,Google OAuth button visibility,3,3,9,Medium,功能错误或局部数据不一致，影响用户体验或局部安全,有一定实现复杂度，常规测试可能遗漏
UI-006,Basket count in navbar,2,2,4,Low,影响有限，主要为展示或辅助功能,逻辑简单或已有明确校验，逃逸概率较低
