ID,Module,title,requirement,Input_Fields,Data_Ranges,Conditions,Expected_Actions,Priority,Technique,Source_Reference
ORD-001,订单与结账,Place order from basket checkout,用户对 basket 发起 checkout 生成订单确认号。,basket id; payment/delivery selections,non-empty authenticated basket,POST /rest/basket/:id/checkout,200 orderConfirmation id; PDF generated; basket cleared,Critical,ST,routes/order.ts
ORD-002,订单与结账,Apply coupon to basket,有效优惠券应折扣 basket 总价。,basket id; coupon code,valid coupon e.g. WMNSDY2019,PUT /rest/basket/:id/coupon/:coupon,Discount applied; total reduced,High,EP,routes/coupon.ts
ORD-003,订单与结账,Invalid coupon rejected,无效或过期优惠券不得应用。,coupon code,nonexistent coupon,PUT coupon on basket,Error; basket total unchanged,Medium,EP,routes/coupon.ts
ORD-004,订单与结账,Order history for logged-in user,用户可查看自己的历史订单。,Authorization,user with past orders,GET /rest/order-history,200 with masked email and order list,High,EP,routes/orderHistory.ts
ORD-005,订单与结账,All orders admin/accounting view,accounting 角色可查看全部订单。,Authorization accounting role,accounting JWT,GET /rest/order-history/orders,200 all orders; customer role denied,Critical,DT,routes/orderHistory.ts
ORD-006,订单与结账,Track order by id,通过订单号跟踪物流状态。,order id,valid order id,GET /rest/track-order/:id,200 tracking info or error,Medium,EP,routes/trackOrder.ts
ORD-007,订单与结账,Track order NoSQL injection,订单跟踪 id 参数的 NoSQL 注入面。,order id,NoSQL operators in id,GET /rest/track-order/:id,Injection may alter query; document behavior,Critical,DT,routes/trackOrder.ts
ORD-008,订单与结账,Delivery options list,结账前可选择配送方式。,none,checkout flow,GET /api/Deliverys,200 delivery methods with prices,Medium,EP,routes/delivery.ts
ORD-009,订单与结账,Toggle delivery status accounting,accounting 可更新订单配送状态。,order id; status,accounting role,PUT /rest/order-history/:id/delivery-status,Status updated,Medium,DT,routes/orderHistory.ts
ORD-010,订单与结账,Checkout decrements inventory,结账成功后商品库存数量减少。,product in basket,quantity before checkout,successful checkout,QuantityModel decreased by ordered amount,High,ST,routes/order.ts
ORD-011,订单与结账,Checkout wallet deduction,使用钱包余额支付时 checkout 扣减余额。,wallet balance; order total,sufficient balance,checkout with wallet payment,Wallet balance reduced; order completes,High,DT,routes/order.ts
ORD-012,订单与结账,Checkout empty basket rejected,空 basket 不得完成 checkout。,basket id,basket with zero items,POST /rest/basket/:id/checkout,400 or error; no order created,Medium,EP,routes/order.ts
PAY-001,支付与钱包,List saved payment cards,用户可查看已保存的银行卡（掩码显示）。,Authorization,user with saved cards,GET /api/Cards,200 masked card numbers for own user,High,EP,routes/payment.ts
PAY-002,支付与钱包,Add payment card,用户可添加新银行卡。,card number; name; month; year,valid card format,POST /api/Cards,201 card stored linked to UserId,High,EP,routes/payment.ts
PAY-003,支付与钱包,Delete own payment card,用户可删除自己的银行卡。,card id,owned card,DELETE /api/Cards/:id,Card removed,Medium,EP,routes/payment.ts
PAY-004,支付与钱包,IDOR on payment cards,不得访问或删除他人银行卡。,card id,other user's card id,different authenticated user,403/404,Critical,EP,routes/payment.ts
PAY-005,支付与钱包,Get wallet balance,用户可查询电子钱包余额。,Authorization,user with wallet,GET /rest/wallet/balance,200 balance amount,Medium,EP,routes/wallet.ts
PAY-006,支付与钱包,Top up wallet balance,用户可通过 PUT 增加钱包余额。,amount; Authorization,positive amount,PUT /rest/wallet/balance,Balance increased,Medium,BVA,routes/wallet.ts
PAY-007,支付与钱包,Card number validation boundary,卡号长度与 Luhn 等校验边界。,cardNum,too short/long/invalid Luhn,POST /api/Cards,400 validation error,Medium,BVA,routes/payment.ts
PAY-008,支付与钱包,Expired payment card rejected,过期月份/年份的银行卡不得用于支付或保存。,month; year,past expiry date,POST /api/Cards,400 validation error,Medium,BVA,routes/payment.ts
B2B-001,B2B 企业订单,Submit B2B order with orderLines,企业 API 接受 orderLines 并创建 B2B 订单。,orderLines JSON,valid product lines,POST /b2b/v2/orders,201 order created,High,EP,routes/b2bOrder.ts
B2B-002,B2B 企业订单,B2B order schema validation,畸形 orderLines 应被拒绝。,orderLines,missing required fields,POST /b2b/v2/orders,400 validation error,Medium,EP,routes/b2bOrder.ts
B2B-003,B2B 企业订单,B2B RCE via order payload,orderLines 中可执行代码的 RCE 面（教学漏洞）。,orderLines with executable payload,crafted malicious orderLines,POST /b2b/v2/orders,Remote code execution possible; sandbox timeout behavior,Critical,DT,routes/b2bOrder.ts
B2B-004,B2B 企业订单,B2B endpoint authentication,B2B 接口的鉴权要求。,Authorization or API key,with/without credentials,POST /b2b/v2/orders,Document required auth; unauthorized rejected if enforced,High,DT,routes/b2bOrder.ts
B2B-005,B2B 企业订单,B2B empty orderLines rejected,空 orderLines 数组应被拒绝。,orderLines,[] empty array,POST /b2b/v2/orders,400 validation error,Medium,EP,routes/b2bOrder.ts
REV-001,商品评价,List reviews for product,可查看某商品的全部评价。,product id,product with reviews,GET /rest/products/:id/reviews,200 review array,Medium,EP,routes/showProductReviews.ts
REV-002,商品评价,Create product review,登录用户可为商品提交评价。,message; author; product id,authenticated user,PUT /rest/products/:id/reviews,Review created in MongoDB,High,EP,routes/createProductReviews.ts
REV-003,商品评价,Forged review author,author 字段可被伪造写入他人身份。,author field,author different from JWT user,PUT review with forged author,Review stored with forged author,High,EP,routes/createProductReviews.ts
REV-004,商品评价,Update reviews batch NoSQL,批量更新评价 id 的 NoSQL 注入面。,id query in PATCH body,NoSQL operators,PATCH /rest/products/reviews,May update unintended reviews,Critical,DT,routes/updateProductReviews.ts
REV-005,商品评价,Like product review,用户可为评价点赞。,review id,existing review,POST /rest/products/reviews,Like count incremented,Medium,EP,routes/likeProductReviews.ts
REV-006,商品评价,Review list NoSQL DoS,评价列表查询的 NoSQL 重操作 DoS 面。,product id or query params,expensive query payload,GET reviews,Slow response or timeout,High,DT,routes/showProductReviews.ts
REV-007,商品评价,Stored XSS in review message,评价内容存储型 XSS 面。,message HTML/script,script tag in review,create review then view list,Script execution or escaping per CSP,High,EP,routes/createProductReviews.ts
REV-008,商品评价,Unauthenticated review creation blocked,未登录用户不得创建评价。,product id; message,no Authorization header,PUT /rest/products/:id/reviews,401 unauthorized,Medium,EP,routes/createProductReviews.ts
FDB-001,客户反馈,Submit feedback with captcha,提交客户反馈需通过算术验证码。,comment; rating; captcha answer,correct captcha,POST /api/Feedbacks,201 feedback stored,Medium,DT,routes/captcha.ts + Feedbacks
FDB-002,客户反馈,Feedback captcha bypass,错误或未答验证码不得提交反馈。,captcha,wrong answer,POST /api/Feedbacks,400 captcha error,Medium,EP,routes/captcha.ts
FDB-003,客户反馈,List feedback entries,可查询反馈列表（权限因配置而异）。,Authorization optional,anonymous or admin,GET /api/Feedbacks,200 feedback list,Low,EP,finale-rest Feedbacks
FDB-004,客户反馈,Forged feedback userId,反馈 userId 伪造面。,userId in body,forged admin userId,POST /api/Feedbacks,Feedback attributed to forged user,High,EP,routes/verify.ts forgedFeedback
FDB-005,客户反馈,Get captcha image or text,客户端可获取验证码挑战。,none,feedback form load,GET /rest/captcha,200 captcha challenge,Low,EP,routes/captcha.ts
FDB-006,客户反馈,Empty feedback comment rejected,空评论内容不得提交反馈。,comment; captcha,empty comment string,POST /api/Feedbacks,400 validation error,Low,EP,finale-rest Feedbacks
DLX-001,Deluxe 会员,Query deluxe membership status,用户可查询是否为 Deluxe 会员。,Authorization,regular or deluxe user,GET /rest/deluxe-membership,200 membership status,Medium,EP,routes/deluxe.ts
DLX-002,Deluxe 会员,Upgrade to deluxe via wallet,使用钱包余额升级 Deluxe。,paymentMode wallet,sufficient wallet balance,POST /rest/deluxe-membership,Role upgraded to deluxe,High,DT,routes/deluxe.ts
DLX-003,Deluxe 会员,Upgrade to deluxe via card,使用银行卡支付升级 Deluxe。,paymentMode card; card id,valid saved card,POST /rest/deluxe-membership,Deluxe membership activated,High,DT,routes/deluxe.ts
DLX-004,Deluxe 会员,Free deluxe membership abuse,未实际扣款仍可获得 Deluxe 的漏洞面。,paymentMode manipulated,crafted request body,POST /rest/deluxe-membership,May obtain deluxe without payment,Critical,DT,routes/deluxe.ts
DLX-005,Deluxe 会员,Deluxe member sees deluxe pricing,Deluxe 角色用户在目录/结账中看到会员价。,Authorization deluxe role,deluxe member browsing or checkout,product price fields in API/UI,deluxePrice used where applicable,Medium,EP,routes/order.ts + frontend
DAT-001,数据导出与擦除,Request personal data export,用户可申请导出个人数据包。,Authorization; image captcha,valid captcha response,POST /rest/user/data-export,Export file or link generated,High,DT,routes/dataExport.ts
DAT-002,数据导出与擦除,Data export image captcha required,导出需通过图像验证码。,captchaId; captcha answer,missing or wrong captcha,POST /rest/user/data-export,Blocked without valid image captcha,Medium,EP,routes/imageCaptcha.ts
DAT-003,数据导出与擦除,Data export cross-store aggregation,导出内容聚合 SQLite 与 MongoDB 数据。,Authorization,user with orders and reviews,successful data export,JSON/ZIP includes orders reviews profile,Medium,ST,routes/dataExport.ts
DAT-004,数据导出与擦除,Request data erasure,用户可申请 GDPR 式数据擦除。,Authorization; form params,authenticated user,POST /dataerasure,PrivacyRequest created; erasure scheduled,High,ST,routes/dataErasure.ts
DAT-005,数据导出与擦除,Data erasure LFR vulnerability,擦除流程中的 LFR 读取任意文件面。,layout file parameter,path traversal in layout,GET/POST dataerasure,Arbitrary file read possible,Critical,EP,routes/dataErasure.ts
DAT-006,数据导出与擦除,Privacy request API,通过 API 创建隐私请求记录。,PrivacyRequest body,valid request,POST /api/PrivacyRequests,201 privacy request row,Medium,EP,finale-rest PrivacyRequests
DAT-007,数据导出与擦除,Data erasure unauthenticated blocked,未携带有效 cookie/token 时不得提交擦除请求。,session cookie,missing or invalid auth,POST /dataerasure,401 or redirect to login,High,EP,routes/dataErasure.ts
FILE-001,文件上传与静态资源,Generic file upload,通用文件上传接口接受文件并存储。,file multipart,allowed extension and size,POST /file-upload,File stored under uploads,High,BVA,routes/fileUpload.ts
FILE-002,文件上传与静态资源,ZIP upload and extraction,ZIP 上传解压行为与路径穿越面。,zip file,zip with nested paths,POST file-upload zip handler,Extracted files location documented,Critical,DT,routes/fileUpload.ts
FILE-003,文件上传与静态资源,XML upload XXE surface,XML 上传的外部实体注入面。,xml file,XXE payload,XML upload handler,Entity expansion or file read,Critical,EP,routes/fileUpload.ts
FILE-004,文件上传与静态资源,Memory photo upload and list,记忆照片上传与浏览。,image; caption,authenticated user,POST/GET /rest/memories,Memory stored and listed,Medium,EP,routes/memory.ts
FILE-005,文件上传与静态资源,FTP static directory listing,FTP 静态目录可列出或访问上传文件。,file path under /ftp,known uploaded filename,GET /ftp/...,File downloadable or directory listed,High,EP,routes/fileServer.ts
FILE-006,文件上传与静态资源,Quarantine folder access,隔离目录中的文件访问控制。,quarantine path,uploaded malicious file,GET quarantine route,Access denied or file served,Medium,EP,routes/quarantineServer.ts
FILE-007,文件上传与静态资源,Upload size limit boundary,超过大小限制的上传被拒绝。,file size,at and above max size,POST /file-upload,413 or error; file rejected,Medium,BVA,routes/fileUpload.ts
FILE-008,文件上传与静态资源,Disallowed file type rejected,不在允许列表内的文件类型不得上传成功。,file extension,e.g. .exe .php,checkFileType middleware,400 or rejected upload,High,EP,routes/fileUpload.ts
API-001,REST API 与访问控制,JWT required on protected routes,受保护 REST 路由无 token 返回 401。,Authorization header,missing Bearer token,GET protected /rest/* or /api/*,401 unauthorized,Critical,EP,lib/insecurity authorize
API-002,REST API 与访问控制,Admin role enforcement,admin 专属操作拒绝 customer 角色。,JWT role claim,role customer vs admin,admin-only endpoint,403 for customer,Critical,DT,server.ts isAccounting/isAdmin
API-003,REST API 与访问控制,Deluxe role pricing access,deluxe 角色在价格相关 API 的行为。,JWT deluxe role,deluxe member,product or checkout APIs,Deluxe price applied,Medium,EP,routes/order.ts
API-004,REST API 与访问控制,Authenticated users debug endpoint,authentication-details 返回在线用户敏感信息。,Authorization admin,admin JWT,GET /rest/user/authentication-details,200 user list with masked secrets,High,EP,routes/authenticatedUsers.ts
API-005,REST API 与访问控制,denyAll middleware blocks routes,denyAll 配置下路由不可访问。,request to denied route,denyAll enabled path,GET denied endpoint,403 or blocked,Medium,EP,server.ts denyAll
API-006,REST API 与访问控制,CORS policy behavior,跨域请求按 CORS 配置允许或拒绝。,Origin header,allowed vs disallowed origin,preflight OPTIONS,CORS headers match config,Medium,DT,server.ts cors
API-007,REST API 与访问控制,API rate limiting on sensitive routes,敏感路由（如 reset-password）限流。,repeated requests,exceed max per window,POST rate-limited route,429 Too Many Requests,High,BVA,server.ts rateLimit
API-008,REST API 与访问控制,JWT tampering rejected,篡改 JWT 签名或 payload 后请求被拒绝。,modified JWT,invalid signature,any protected route,401 invalid token,Critical,EP,lib/insecurity
