ID,title,requirement,Input_Fields,Data_Ranges,Conditions,Expected_Actions,Priority,Technique
LR-016,XSS payload in email (error reflection),Login error message is bound via Angular interpolation in login template.,email,email: <script>alert(1)</script> style payload,Server returns 401 message; {{error}} in login.component.html,Angular escapes HTML by default; no script execution in standard build; email sanitized on registration not on login input,Medium,EP
LR-017,XSS payload in password field,Password is MD5-hashed server-side and not echoed in login error.,password,password: HTML/script payload,Only generic error message returned,401 Invalid email or password; no plaintext password reflection,Low,EP
LR-018,No rate limiting on login endpoint,Brute-force attempts against login are not throttled at middleware level.,email + password,Repeated failed login attempts,No express-rate-limit on POST /rest/user/login in server.ts,Unlimited attempts; no 429 from login route,High,DT
LR-019,Rate limiting on reset-password (contrast),Document that password reset is rate-limited while login is not.,email (forgot-password flow),windowMs=5min; max=100 per IP or X-Forwarded-For,rateLimit middleware on /rest/user/reset-password only,429 after threshold; trust proxy enabled,Medium,BVA
LR-020,JWT token expiry (6 hours),Issued JWT uses RS256 with expiresIn 6h; cookie max-age differs.,successful login,JWT exp 6h; cookie expires +8h from login time,security.authorize uses expiresIn 6h,Authenticated API calls fail after JWT expiry with 401; user must re-login,High,BVA
LR-021,Remember me stores email in localStorage,Remember-me checkbox persists email for next visit regardless of login outcome.,rememberMe checkbox + email,rememberMe true or false,login() writes or removes localStorage email after POST,On next visit email field pre-filled when rememberMe was checked,Medium,DT
LR-022,Server error during login is handled,Database or Sequelize errors propagate to Express error handler.,email + password,Simulate DB failure during login query,catch block calls next(error),500 response; client clears token bid; isLoggedIn=false; error displayed,Medium,EP
LR-023,Password comparison is case-sensitive,MD5 hash is computed on exact password string.,email + password,admin@juice-sh.op; Admin123 vs admin123,Different MD5 digests for case variants,401 when case does not match seed password,Medium,EP
LR-024,Leading or trailing spaces in email,Login route does not trim email before SQL query.,email,email: ' admin@juice-sh.op ' with spaces,No trim() in login route unlike some registration paths,401 unless DB stores email with same whitespace,Low,BVA
LR-025,Concurrent sessions for same user,Each successful login issues a new JWT without invalidating prior tokens.,same credentials from two sessions,valid user credentials,authenticatedUsers tokenMap stores multiple tokens,Multiple valid JWTs until expiry; new basket id per login flow,Medium,DT
LR-026,Default admin weak password challenge,Predefined admin credentials solve weakPasswordChallenge.,email + password,admin@juice-sh.op + admin123,verifyPreLoginChallenges checks exact email and password,200 login; admin role JWT; challenge solved,High,EP
LR-027,Password visibility toggle,User can show or hide password characters in the login form.,password field UI,hide flag toggles input type password vs text,Mat-icon button toggles hide property,Visual masking only; no change to submitted value,Low,DT
LR-028,Enter key submits login form,Pressing Enter in the login form triggers login().,keyboard Enter in login-form,valid or invalid form state,formSubmitService.attachEnterKeyHandler on login-form,Same behavior as clicking Log in when form valid,Low,DT
LR-029,Google OAuth button when redirect is authorized,Google login is shown only for authorized redirect URIs from application config.,Google OAuth button,redirectUri matches config.application.googleOauth.authorizedRedirects,oauthUnavailable=false when origin authorized,Redirect to accounts.google.com OAuth with client_id response_type=token scope=email,Medium,DT
LR-030,Google OAuth hidden for unauthorized origin,OAuth controls hidden when current origin is not in authorizedRedirects.,page load on /login,origin not listed in googleOauth.authorizedRedirects,oauthUnavailable=true,No Google login button; console log about unauthorized redirect URI,Low,DT
LR-031,2FA verify with valid TOTP after tmpToken,Complete login after totp_token_required using /rest/2fa/verify.,tmpToken + totpToken,tmpToken from login 401; TOTP from secret of wurstbrot@juice-sh.op,verifySync valid within epochTolerance 30,200 on POST /rest/2fa/verify; authentication token and bid returned; full session established,High,DT
LR-032,2FA verify with invalid TOTP,Wrong TOTP code must not complete authentication.,tmpToken + totpToken,valid tmpToken; incorrect 6-digit code,verifySync returns invalid,401 on POST /rest/2fa/verify; no full session JWT,High,EP
LR-033,Login challenge user Jim,Successful login as Jim solves loginJimChallenge.,email + password,jim@juice-sh.op + ncc-1701,verifyPostLoginChallenges compares user id to users.jim,200 login; loginJimChallenge solved,Medium,EP
LR-034,Login challenge user Bender,Successful login as Bender solves loginBenderChallenge.,email + password,bender@juice-sh.op + OhG0dPlease1nsertLiquor!,verifyPostLoginChallenges compares user id to users.bender,200 login; loginBenderChallenge solved,Medium,EP
LR-035,Basket associated on successful login,Server finds or creates a basket for the authenticated user.,successful login,any valid non-TOTP user,BasketModel.findOrCreate after authentication,Response includes bid; client merges guest basket then updates cart count,Medium,ST
LR-036,Exposed testing credentials on login page,Login component exposes testing@juice-sh.op credentials in source for QA.,email + password,testing@juice-sh.op + IamUsedForTesting,testingUsername and testingPassword fields in LoginComponent; solves exposedCredentialsChallenge on login,200 admin login when credentials used; challenge solved,Medium,EP
